Move,Icon,Attribute,Type,SP Cost,Power,Inheritable
Restore,Icons/Moves/support-icon.png,Neutral,Support,25,0,No
Revenge Flame,Icons/Moves/support-enhancement-icon.png,Neutral,Direct,15,0,No
Revive,Icons/Moves/support-icon.png,Neutral,Support,30,0,No
Ripping Net,Icons/Moves/electric-icon.png,Electric,Physical,10,40,No
River of Power,Icons/Moves/water-icon.png,Water,Magic,20,130,No
Rock Breaker,Icons/Moves/earth-icon.png,Earth,Physical,5,70,No
Rock Fist,Icons/Moves/earth-icon.png,Earth,Physical,5,65,No
Rune Forest I,Icons/Moves/plant-icon.png,Plant,Magic,4,20,No
Rune Forest II,Icons/Moves/plant-icon.png,Plant,Magic,7,35,No
Rune Forest III,Icons/Moves/plant-icon.png,Plant,Magic,10,65,No
S-Gold Solar Storm,Icons/Moves/light-icon.png,Light,Magic,25,75,No
Safety Guard,Icons/Moves/support-enhancement-icon.png,Neutral,Support,32,0,No
Saint Knuckle I,Icons/Moves/light-icon.png,Light,Physical,3,65,No
Saint Knuckle II,Icons/Moves/light-icon.png,Light,Physical,6,85,No
Saint Knuckle III,Icons/Moves/light-icon.png,Light,Physical,9,105,No
Savage Emperor,Icons/Moves/light-icon.png,Light,Magic,15,105,No
Scissor Claw,Icons/Moves/neutral-icon.png,Neutral,Physical,20,0,No
Scrapless Claw,Icons/Moves/earth-icon.png,Earth,Physical,15,110,No
Seed Blast,Icons/Moves/plant-icon.png,Plant,Physical,5,15,No
Seven's Fantasia,Icons/Moves/light-icon.png,Light,Magic,20,75,No
Shadow Wing,Icons/Moves/fire-icon.png,Fire,Magic,15,65,No
Shield of the Just,Icons/Moves/light-icon.png,Light,Magic,25,115,No
Shield of the Just,Icons/Moves/light-icon.png,Light,Magic,25,110,No
Shine of Bee,Icons/Moves/fire-icon.png,Fire,Physical,35,0,No
Shining Laser I,Icons/Moves/light-icon.png,Light,Magic,4,20,No
Shining Laser II,Icons/Moves/light-icon.png,Light,Magic,7,35,No
Shining Laser III,Icons/Moves/light-icon.png,Light,Magic,10,65,No
Shiny Ring,Icons/Moves/light-icon.png,Light,Physical,5,70,No
Shock,Icons/Moves/earth-icon.png,Earth,Physical,10,40,No
Silent Bullet,Icons/Moves/dark-icon.png,Dark,Physical,10,15,No
Silent Bullet (Awake),Icons/Moves/dark-icon.png,Dark,Physical,20,30,No
Sludge,Icons/Moves/earth-icon.png,Earth,Physical,10,40,No
Smile Bomber,Icons/Moves/fire-icon.png,Fire,Physical,15,110,No
Smile Fang,Icons/Moves/neutral-icon.png,Neutral,Physical,2,40,No
Smile Warhead,Icons/Moves/neutral-icon.png,Neutral,Physical,20,110,No
Soap Flower,Icons/Moves/water-icon.png,Water,Magic,2,30,No
Sonic Void I,Icons/Moves/wind-icon.png,Wind,Magic,3,55,No
Sonic Void II,Icons/Moves/wind-icon.png,Wind,Magic,6,75,No
Sonic Void III,Icons/Moves/wind-icon.png,Wind,Magic,9,95,No
Sorrow Blue,Icons/Moves/water-icon.png,Water,Magic,40,0,No
Soul Absorption,Icons/Moves/dark-icon.png,Dark,Physical,5,70,No
Soul Chopper,Icons/Moves/dark-icon.png,Dark,Magic,30,0,No
Soul Core Attack,Icons/Moves/earth-icon.png,Earth,Physical,30,0,No
Soul Digitalization,Icons/Moves/neutral-icon.png,Neutral,Magic,25,95,No
Soul Digitalization,Icons/Moves/neutral-icon.png,Neutral,Magic,25,90,No
Speed Break,Icons/Moves/support-enhancement-icon.png,Neutral,Support,6,0,No
Speed Break Field,Icons/Moves/support-enhancement-icon.png,Neutral,Support,20,0,No
Speed Charge,Icons/Moves/support-enhancement-icon.png,Neutral,Support,6,0,No
Speed Charge Field,Icons/Moves/support-enhancement-icon.png,Neutral,Support,20,0,No
Speed Star,Icons/Moves/light-icon.png,Light,Physical,15,90,No
Spider Shooter,Icons/Moves/fire-icon.png,Fire,Physical,15,30,No
Spiking Strike,Icons/Moves/plant-icon.png,Plant,Physical,20,0,No
Spinning Needle,Icons/Moves/wind-icon.png,Wind,Physical,10,45,No
Spiral Blow,Icons/Moves/wind-icon.png,Wind,Physical,10,90,No
Spiral Masquerade,Icons/Moves/dark-icon.png,Dark,Physical,25,30,No
Spiral Masquerade,Icons/Moves/dark-icon.png,Dark,Physical,25,30,No
Spiral Sword,Icons/Moves/electric-icon.png,Electric,Physical,15,110,No
Spiral Twister,Icons/Moves/fire-icon.png,Fire,Magic,5,55,No
Spirit Drain,Icons/Moves/neutral-icon.png,Neutral,Magic,3,40,No
Spitfire Blast,Icons/Moves/fire-icon.png,Fire,Physical,5,35,No
Starlight Explosion,Icons/Moves/light-icon.png,Light,Magic,20,90,No
Starlight Velocity,Icons/Moves/light-icon.png,Light,Physical,20,130,No
Status Barrier,Icons/Moves/support-enhancement-icon.png,Neutral,Support,16,0,No
Sticker Blade,Icons/Moves/dark-icon.png,Dark,Physical,10,25,No
Sticky Net,Icons/Moves/plant-icon.png,Plant,Physical,5,65,No
Strike of the Seven Stars,Icons/Moves/light-icon.png,Light,Magic,20,15,No
Strike Roll,Icons/Moves/neutral-icon.png,Neutral,Physical,20,140,No
Sub-zero Ice Punch,Icons/Moves/water-icon.png,Water,Physical,10,80,No
Summon,Icons/Moves/neutral-icon.png,Neutral,Fixed,5,0,No
Sunshine Beam,Icons/Moves/light-icon.png,Light,Magic,10,80,No
Super Bubble Blow,Icons/Moves/water-icon.png,Water,Magic,2,35,No
Super Shocker,Icons/Moves/electric-icon.png,Electric,Magic,5,60,No
Super Stinky Jet,Icons/Moves/earth-icon.png,Earth,Magic,10,20,No
Supersonic Voice,Icons/Moves/wind-icon.png,Wind,Magic,30,0,No
Superstar Uppercut,Icons/Moves/light-icon.png,Light,Physical,15,110,No
Support End,Icons/Moves/light-icon.png,Light,Magic,10,30,No
Supreme Cannon,Icons/Moves/water-icon.png,Water,Magic,30,0,No
Supreme Cannon,Icons/Moves/water-icon.png,Water,Magic,30,95,No
Symphony Crusher,Icons/Moves/neutral-icon.png,Neutral,Magic,20,0,No
Table Flip,Icons/Moves/earth-icon.png,Earth,Physical,25,100,No
Tail Hammer,Icons/Moves/earth-icon.png,Earth,Physical,10,85,No
Taizoukai Mandala,Icons/Moves/dark-icon.png,Dark,Magic,20,70,No
Talisman of Light,Icons/Moves/dark-icon.png,Dark,Magic,15,105,No
Tearing Shot,Icons/Moves/water-icon.png,Water,Magic,5,65,No
Terra Force,Icons/Moves/fire-icon.png,Fire,Physical,20,90,No
Terrier Tornado,Icons/Moves/wind-icon.png,Wind,Magic,5,20,No
Terrors Cluster,Icons/Moves/electric-icon.png,Electric,Physical,20,125,No
Texture Blow,Icons/Moves/wind-icon.png,Wind,Physical,10,40,No
The King of Fists,Icons/Moves/wind-icon.png,Wind,Physical,15,55,No
The Ray of Victory,Icons/Moves/light-icon.png,Light,Physical,25,100,No
Thorn Whip,Icons/Moves/plant-icon.png,Plant,Physical,20,120,No
Thousand Fists,Icons/Moves/wind-icon.png,Wind,Physical,25,15,No
Thunder Cloud,Icons/Moves/electric-icon.png,Electric,Magic,5,30,No
Thunder Fall I,Icons/Moves/electric-icon.png,Electric,Physical,4,30,No
Thunder Fall II,Icons/Moves/electric-icon.png,Electric,Physical,7,45,No
Thunder Fall III,Icons/Moves/electric-icon.png,Electric,Physical,10,75,No
Tidal Wave,Icons/Moves/water-icon.png,Water,Magic,15,65,No
Tomahawk Stinger,Icons/Moves/neutral-icon.png,Neutral,Physical,20,130,No
Top Gun,Icons/Moves/wind-icon.png,Wind,Magic,15,110,No
Transcendent Sword,Icons/Moves/fire-icon.png,Fire,Physical,30,115,No
Transcendent Sword,Icons/Moves/fire-icon.png,Fire,Physical,30,130,No
Tri-Horn Attack,Icons/Moves/earth-icon.png,Earth,Physical,15,150,No
Trick or Treat,Icons/Moves/neutral-icon.png,Neutral,Physical,15,100,No
Trident Revolver,Icons/Moves/fire-icon.png,Fire,Physical,15,40,No
Trident Saber,Icons/Moves/neutral-icon.png,Neutral,Physical,15,40,No
Trump Sword,Icons/Moves/neutral-icon.png,Neutral,Magic,20,35,No
Turbo Stinger,Icons/Moves/electric-icon.png,Electric,Physical,10,25,No
Twenty Dive,Icons/Moves/neutral-icon.png,Neutral,Physical,5,75,No
Ultimate Flare,Icons/Moves/fire-icon.png,Fire,Physical,20,90,No
Ultimate Ouryuken,Icons/Moves/neutral-icon.png,Neutral,Physical,50,0,No
Unidentified Flying Kiss,Icons/Moves/dark-icon.png,Dark,Magic,15,95,No
V-Nova Blast,Icons/Moves/fire-icon.png,Fire,Physical,10,105,No
Vantheon,Icons/Moves/neutral-icon.png,Neutral,Physical,10,15,No
Vee Laser,Icons/Moves/light-icon.png,Light,Physical,10,95,No
Veemon Headbutt,Icons/Moves/neutral-icon.png,Neutral,Physical,5,75,No
Venom Infusion,Icons/Moves/dark-icon.png,Dark,Physical,20,135,No
Venom Trap,Icons/Moves/plant-icon.png,Plant,Physical,10,40,No
Victory Sword,Icons/Moves/wind-icon.png,Wind,Physical,25,65,No
Volcanic Driver,Icons/Moves/fire-icon.png,Fire,Physical,20,130,No
Volcanic Strike,Icons/Moves/fire-icon.png,Fire,Physical,10,95,No
Vortex Penetration,Icons/Moves/water-icon.png,Water,Physical,35,0,No
Vulcan Crusher,Icons/Moves/earth-icon.png,Earth,Physical,30,145,No
Vulcan's Hammer,Icons/Moves/electric-icon.png,Electric,Physical,15,115,No
Waltz's End,Icons/Moves/neutral-icon.png,Neutral,Physical,25,35,No
Weltgeist,Icons/Moves/support-enhancement-icon.png,Neutral,Support,15,0,No
Will-o'-Wisp,Icons/Moves/fire-icon.png,Fire,Magic,10,30,No
Will-O'-Wisp Slash,Icons/Moves/fire-icon.png,Fire,Physical,20,70,No
Wind Claw I,Icons/Moves/wind-icon.png,Wind,Physical,3,65,No
Wind Claw II,Icons/Moves/wind-icon.png,Wind,Physical,6,85,No
Wind Claw III,Icons/Moves/wind-icon.png,Wind,Physical,9,105,No
Wind Cutter Sword,Icons/Moves/wind-icon.png,Wind,Physical,15,40,No
Winning Knuckle,Icons/Moves/neutral-icon.png,Neutral,Physical,15,115,No
Wolf Claw,Icons/Moves/neutral-icon.png,Neutral,Physical,15,120,No
Wolkenapalm I,Icons/Moves/fire-icon.png,Fire,Physical,3,65,No
Wolkenapalm II,Icons/Moves/fire-icon.png,Fire,Physical,6,85,No
Wolkenapalm III,Icons/Moves/fire-icon.png,Fire,Physical,9,105,No
Wyvern's Breath,Icons/Moves/wind-icon.png,Wind,Physical,25,110,No
X-Aura,Icons/Moves/support-icon.png,Neutral,Support,25,0,No
X-Heal,Icons/Moves/support-icon.png,Neutral,Support,8,0,No
Zwei Glänze,Icons/Moves/neutral-icon.png,Neutral,Physical,20,150,No
Zwei Sieger,Icons/Moves/light-icon.png,Light,Physical,10,90,No
